,ASIN,Product Description,Manufacturer,Product Rating (out of 5)
90,ASIN : B098QFF5TJ,"Care Instructions: Hand Wash Only
Spacious : This Rucksack bag is lightweight and comes with Three main compartment having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials, A back mesh pocket to carry extra documents and numerous small pocket to carry all your small accessories
CAPACITY & SIZE : 45 Litres; Weight: 0.9 kg ; Dimensions: 22.9cm x 36.8cm x 50.8cm ; Utility : Ideal for Travel, Hiking, Trekking & Camping, Day trip.; HIGH QUALITY : A major problem in many rucksack and travelling bags is that it get torn between your journeys or within a short period of time but this Rucksack which is made from high Quality materials, is stitched properly and has bartacks on pressure points is strong enough to hold all your items without any problem
FEATURES : Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap , Breathable Mesh etc.; Closure Type: Zipper; Age Range Description: Adult
COMFORTABLE TRAVEL : Backside Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily.
12 Months Limited Brand Warranty","Manufacturer : Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507",4.1
91,ASIN : B07JGQM7DC,"Style meets functionality with this well crafted sling along with attractive gold hardware giving it a classy vintage look
The inner magnetic closure compartments, and zipper pockets converts the bag into your efficiency partner for your A-game
Club it with your evening dress or sling it along for that satisfying shopping spree
Made in India","Manufacturer : Red Turks India, Red Turks India ,D-08, First Floor, M.R.Society, opp Raheja College.Relif Road, Santacruz (W) Mumbai no-400054. Tel : +91 9167 1484 25 , EMail : sandesh@redrootsindia.com, ecom@redrootsindia.com",3.7
92,ASIN : B08WQ668WJ,"A super-slim backpack for men design, trendy looks and durable construction - this stylish 36 L backpack from ZIPLINE has got everything that will complement your youthful personality.This college bag has spacious interiors, this unisex backpack is a great option for short road trips, college and work. Ergonomic design of this school bag for boys are crafted from polyester, this medium school bag is sturdy enough to withstand regular wear and tear gracefully.
Zipline laptop bag for men features a cushioned base and internal back padding to offer you extra comfort. The padded shoulder straps of this school bag for boys can be easily adjusted according to your liking. Spacious backpack is featuring with four pockets and three main compartments all with speciality zippers, this office bag for men offers you enough space to carry your books, files, travel accessories, stationery, keys and mobile accessories. It comes with the ZIPLINE promise of quality.
The lighter your college Bag, the more you’ll enjoy hiking. With this in mind, we've ensured that the Zipline college bag weighs very light, and does not add extra weight to your back.
The Zipline school bag has been provided with a bouncy mesh that prevents sweatiness by allowing air flow. The padded back panel of this school bag and shoulder straps helps make carrying heavier loads easier and more comfortable.
Highly Durable and Water Resistant fabric have been used in this school bag for boys","Manufacturer : Atulitu Agency, 251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400093",3.6
93,null,null,null,
94,null,null,null,
95,ASIN : B09QL81ZHB,"Care Instructions: Hand Wash Only
✈LOTS OF STORAGE SPACE&POCKETS- This travel backpack design with multi independent pockets for large storage and organization for small items. 2 spacious main multi compartments with many hidden pockets can accommodate lots of stuffs like college supplies, travel accessories, clothes, stationery, notebook, Mesh pockets at side for water bottle and compact umbrella make your items organized and easier to find.Ideal book bag backpack for high school boys perfectly.
✈DIMENSION & DURABLE MATERIAL - Size of extra large backpack:18.89 x 12.0 x 2.99 (inches), perfect to throw under your seat on an airplane when you are traveling or on business trip.Separate padded laptop compartment fits most 15.5 inch laptop /Ipad/Computer.The business computer backpack made from high quality polyester fabric shockproof with high density nylon lining for better TEAR & WATER RESISTANT and heavy duty backpack.
✈MULTIPURPOSE - At checkpoint, unfolds the travel backpack freely 90-180 degrees making you quickly through the airport security and keep items tidy, exclusive designed for airplane travel. The big backpack is perfect for indoor/outdoor activities. Served as a durable laptop backpack, large school backpack for Teen Boys/Girls, large laptop bag or spacious college backpack. Perfect travel gifts for men women who like international travel, camping, hiking and overnight trip.
✈SECURE& SAFE - Durable Metal Zippers,protects wallet and other items inside from thief and offers a private space.So you never have to worry about someone stealing your laptop, ipad, business file, homework and anything value, keep you a nice peace of mind. Durable metal zippers close and open smoothly, ensure a secure and long-lasting usage everyday or weekend.
✈BREATHABLE & COMFORTABLE - Padded and breathable mesh back panel of this Backpack design help for the air convection, ventilation and heat elimination. Comfortable wide breathable mesh shoulder straps with plentiful sponge pad help relieve the stress from your shoulder. Both sides of the shoulder strap with design, can hang sunglasses and other small pendants.Premium bookbags for men also school backpack for teen boys. And it is a Ideal gifts for men women.","Manufacturer : WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604",4.0
96,Manufacturer : Backpack International Pvt Ltd,"Laptop Compatibility: Yes, Laptop size: 15.6 inches
Outer Material: Polyester, Color: Black
Water Resistance: Water resistant
Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)
Warranty type: Manufacturer; 12 months warranty against manufacturing defects",Department : unisex-adult,3.9
97,null,null,null,
98,ASIN : B0C1NZLF67,"Trendy Design: The Laptop bag for men features a unique, trendy design that makes it stand out from other laptop backpacks. It's perfect for individuals who want to express their style while carrying their laptop.
Secure Laptop Compartment: The 17-inch padded compartment in laptop backpack for men / Laptop bag for men provides secure storage for your device. The padding ensures that your laptop is protected from scratches and bumps while you're on the move.
Front Pockets: The small pockets in College Bags for men / College bag for women in Second Compartment provide easy access to smaller items like your phone, wallet, and keys. These pockets are convenient and ensure that you don't have to dig through the main compartment to find what you need.
Strong Built: The Laptop bag for men is built with strong zippers and stitching that can withstand daily wear and tear. This ensures that your belongings are kept safe and secure in college bag for girls and the backpack for men can hold up to daily use.
Comfortable to Wear: The Laptop bag for men / backpack for men is designed for maximum comfort. The padded shoulder straps and back panel provide added comfort, reducing strain on your back and shoulders while carrying the laptop backpack. This makes it easy to wear the backpack for extended periods of time, whether you're commuting to work or school or going on a trip.",Manufacturer : Half_Moon,3.6
99,ASIN : B0BYB631NR,"Care Instructions: Wipe with Dry Cloth
PREMIUM MATERIAL: Made from high quality, Premium quality smooth zippers, pullers, buckles.
Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.
USB FEATURE : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.",Manufacturer : Rama luxury store,3.6
100,ASIN : B07QN4KXWG,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.
Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls
Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.
Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.
Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.","Manufacturer : AirCase, Istuff365, Godown No.H-3, Dharam Complex, Thane-421302",3.8
101,ASIN : B09WDGZ32L,"ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartment having the capacity of approx 55 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 4 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser(small pockets inside a office bag for men / office bag for women).
COMFORT WITH QUALITY: This backpack for men has wide, padded and adjustable shoulder straps and padded back for comfort in carrying heavy items. The College Bags for men is stitched properly and Bartacks on every pressure point for extra durability. The backpack for men is made with strong yet light weight polyester fabric with heavy zippers. The laptop bag for men also comes with a Rain cover so that you can travel during rainy season without any problem.
PROUDLY MADE IN INDIA: Half Moon laptop bag for men is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this college bags for men is Made in India by Indians using Indian materials.
QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this Rucksack is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure points for extra strength.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.",Manufacturer : Half_Moon,4.0
102,ASIN : B07G4CYC74,"Care Instructions: Hand Wash Only
Outer material: synthetic, color: tan; Waterproof
Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)
Number of compartments: 2
Laptop compatibility: yes, laptop size: 16strap type: adjustable
Age Range Description: Adult; Special Features: Back Padding; Pocket Description: Utility Pocket; Closure Type: Zipper
Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .","Manufacturer : Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366",4.4
103,ASIN : B09SWVPZD4,"Useful for 15 Inch Laptop ensures you to carry your laptop with ease <br>
1 Compartments with a padded laptop section, and 1 outer mesh pockets <br>
Lightweight Durable Laptop Backpack, carry all day comfortably <br>
20L capacity : Weight: 380gm Dimension: 18x12x5.5 inches; 12 Months Warranty on Manufacturing Defects <br>
Style Name: Casual; Pattern Name: Solid; Strap Type: Shoulder Strap; Water Resistance Level: Water Resistant; Age Range Description: Adult; Special Features: Laptop Compartment <br>","Manufacturer : COSMUS BAGS PVT.LTD., 359,Ground Floor Abubakar Chawl Dharavi Main Road, Bagicha Compound, Dharavi Mumbai,400017 Landmark Dharavi Jama Masjid (Gujrati Jamat Khana) Mobile: +91 8767008844",3.5
104,ASIN : B078JVT384,"Care Instructions: Hand Wash Only
Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop<br> <br>
Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry<br> <br>
Front Organizer compartments for pens, keys, and cell phone<br> <br>
Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket <br>","Manufacturer : Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India – 400059 Mobile: +91 8767008844",4.2
105,ASIN : B0BRNP6M1D,"Made up of long lasting durable water resistant & Waterproof Nylon Material. It is good to use as small Travel bags for women and ladies.
NORMAL DIMENSION:41 x 22 x 26 CM
ZIP CLOSURE - This travel duffel Bag comes with 2 inside small pocket + 1 Main pocket + 1 small Dry wet pocket + 1 Front Small Zipper Pocket. It is mostly suitavble for carry cosmetics and other essensial items with different pockets.
EASY TO CARRY - Handbag you can carry it by hand or carry it on your shoulder, or you can easily place it on your luggage through the fixed belt design on the back, which is convenient for storage and transportation, and makes travel more convenient.
WIDE RANGE OF APPLICATIONS - Waterproof dry bag gym, Sports, Travel, Weekend, Luggage, Carry-on Bag, Shopping Bag, Beach Bag, Hiking and Camping. Suitable for women, men, teens and big kids, great idea as personal item for airline travel and emergency spare bag in the suitcase.",Manufacturer : M/s JD Fresh,3.9
106,ASIN : B0C28K6JBP,"Care Instructions: Wipe with Damp Cloth
Fur Jaden Pro Series: Introducing our most premium, stylish and functional range of travel accessories. We craft signature pieces that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication.
Smart Anti-Theft Tech Backpack: Fur Jaden Pro V comes with an in-built USB Type-A and USB Type-C reversible charging port system to facilitiate safe and quick charging on the go. With reversible charging, charge the powerbank directly without having to remove it from your bag. Anti-Theft: This smart tech backpack comes with an anti-theft pocket on the back to store valuable documents, wallets, keys and other smaller essentials while travelling.
Multi Utility Compartments: Unique Barrel styled front compartment is spacious to house t-shirts and denims for a short weekend getaway. It also features a small utility pocket to hold wallets/ cardholders/keys. On the back, a 180 Degree openable padded compartment to store tablets/ kindle devices and laptops upto 15.6 Inches.
Innovative Design: Handcrafted with precision, this uniqely designed structured laptop backpack features two quick access front pockets to hold small accessories plus an additional side pocket to house the power bank which can also be used to store a 500ml water bottle.
Warranty: 1 Year Manufacturer Warranty Against Defects. Product Dimensions: 48 cm (H) x 30 cm (W) x 15 cm (D). Storage Volume: 22L.","Manufacturer : Fur Jaden, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",4.8
107,ASIN : B0C3MG4MJG,"Care Instructions: Wipe with Dry Cloth
Unique Diamond Cut ABS Hard-shell Design. Accommodates Upto 15.6"" Laptop.
Kissing Zip Pullers for Locking Mechanism. Separate Compartment for IPad / Notebook.
Velcro Flap to Prevent 180° Opening. Elasticated File / Documents Holder. 180° Opening for Packing / Unpacking Ease. Separate Mesh Zipper Pocket for Accessories.
Spacious Garments / Files Pocket for Overnight Travel. Miscellaneous Storage pockets for organizing ease.
Premium Padded Back Mesh Panel for Extra Comfort. Adjustable Shoulder Strap for Comfort Fit. Comfort Grip Carrying Handle.","Manufacturer : Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020, Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020",3.7
108,ASIN : B09B277CR5,"Lightweight yet durable backpack/daypack for school use or everyday outings
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh pockets on both sides to accommodate your water bottle and umbrella
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester","Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",3.8
109,ASIN : B097JHSJTL,"Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant. Capacity: 36 liters, Weight: 596 g, Dimensions: 48 x 33 x 23 cm Warranty: 12 months
3 Spacious compartment: Store your Books, Stationary, Accessories, Lunch boxes, etc. It will store plenty of items. Laptop Sleeve: Ensure that your laptop is stored separately and Securely! Organizer: Keep every single item separately in an arranged manner, with the help of our organizer. 1 side pocket: For holding water bottle, clipping pens or pencil or storing other items. 1 Front Pocket: Easily accessible. To keep all your essentials such as wallet, ticket, cosmetics.
Easy grab padded handle: For added comfort and convinience to hold the bag. Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!
Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.
Stylish & Cute: This bag is designed for those Millennials and GenZ, who do not want to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.","Manufacturer : Safari, Safari Industries(India)Ltd.,302-303,A-Wing,The Qube CTS no-1498,A/2,MV road,Marol, Andheri(E), Mumbai-400059, Maharashtra. Phone Number +919819547085, Email Id : customercare@safari.in",5.0
110,ASIN : B07MXL986B,"Care Instructions: Wipe with Damp Cloth
Care Instructions: Wipe with Damp Cloth
Dimensions: 12 inch x 8 inch x 17.5 inch ; Capacity: 35 Ltrs; Number of Compartments: 3 Compartments; Material: Polyester; Water Resistance Level: Water Resistant","Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",4.0
111,ASIN : B07YFNXC3H,"DURABLE AND ULTRALIGHT: Made from water repellent and tear resistant fabric yet Weighs only 630 gms
FOLDABLE AND SPACIOUS: Capacity 60L. Unfolded Size: 22.5x14x11 inch, Folded Pouch Size: 11x11 inch
VERSATILE: Perfect for use as a gym bag, sports bag, storage bag, weekender bag or Just-In-Case bag
EVERYTHING ORGANIZED: A shoe compartment and 4 outer zippered pockets for easy access to essentials
JUST WHEN YOU NEED IT: Simply unfold the pouch to use as a luggage bag in case your suitcase swell","Manufacturer : Stoned Walls, Delhi",4.2
112,ASIN : B07VT3F795,"STORAGE CAPACITY : The backpack for men has 3 large compartments, 1 front pocket and 2 side Bottle Holder, 1 Anti-Theft Internal Organiser to store pens, keys, money etc. In deed a perfect all-rounder backpack for men, school bags for boys and girls, college bags for men and college bag for girls, office bag for men and women. One Bag multiple uses. Great Value !!
FEATURES & WARRANTY : Strap Type: Adjustable; Closure Type: Zipper; Color Name: Black; Pattern Name: Solid; Compartment Description: Not Laptop Compatible; Special Features: Zip Closure; Capacity: 40 litres; Number of Compartments: 3 Compartments; Water Resistance Level: Water Resistant; Age Range Description: Kid; Pocket Description: Utility Pocket; Lining Description: Polyester; Warranty Description: This bag for men has 1 Year Warranty for any manufacturing defects.
DIMENSIONS :19(H) x 12.5(W) x 8.5(B) inches. This school bags for boys has heavy duty zippers and it perfectly serves the purpose of a school bag, college bag, office bag with plenty of space on the inside.
MATERIAL : This college bags for men is made from Imported 420D. It is lightweight polyester fabric. These college bag for women has tested strength of 140 Kgs. It also has 900D super strong base with foam padding for protection.
THE ULTIMATE BACKPACK FOR MEN : This backpack has adjustable shoulders, padded handle, quick haul loop, 3D air flow panel preventing sweat. This 40L school bags for boys/college bag for girls can accommodate a water bottle on one side pocket or also an umbrella.",Manufacturer : PAZZO,4.0
113,ASIN : B0B3JBYZ8C,"Closure Type : Zip , Handle Type : Detachable
Strap Type : Two short handles + 1 Shoulder strap handle + 2 padded shoulder handle.; Item dimensions : Height : 23 cm,Width : 25 cm, Length : 46 cm , 26.45 Litrs , Water Resistant Level : Waterproof
Item Dimensions : Height : 24cm, Width : 27 cm, Lenght : 46 cm , 26.45 Litrs ,Water Resistance Level : Waterprooof.","Manufacturer : NISUN INC., B-201, Greenfield 4+, Vadodara, Gujarat-391410 Email: sales@nisun.in, Phone: 63527-67213",4.2
114,ASIN : B085QWJVCZ,"Care Instructions: Hand Wash Only
Outer Material: Art Leather, Color: Brown
Capacity: 22 liters; Weight: 740 grams; Dimensions: 31 cms x 16 cms x 48 cms (LxWxH)
Number of compartments: 2
Laptop Compatibility: Yes, Laptop Size: Upto 16 Inches; Strap Type: Adjustable
Warranty Type: 1 Year Manufacturer Warranty","Manufacturer : Uber Fashion Merchandise Pvt. Ltd., Uber Fashion Merchandise Pvt. Ltd. No. 17G/46-3 & 17G/46-3-1 , 1st & 2nd Floor, Industrial Suburb, 2nd Stage, Yeshwantpur, Next to Sapna Books on MEI road, Bangalore – 560 022. INDIA Tel: 9066161590",4.4
115,ASIN : B08YZ8FFBZ,"MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.
LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.
WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.
PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.
1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: Black; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult","Manufacturer : Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",3.9
116,null,null,null,
117,ASIN : B09YM657NK,"Care Instructions: Hand Wash Only
WATERPROOF","Manufacturer : Bluecraft Hyderabad Telangana 8008355628, Bluecraft Hyderabad Telangana 8008355628",4.4
118,ASIN : B078JVT384,"Care Instructions: Hand Wash Only
Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop<br> <br>
Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry<br> <br>
Front Organizer compartments for pens, keys, and cell phone<br> <br>
Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket <br>","Manufacturer : Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India – 400059 Mobile: +91 8767008844",4.2
119,ASIN : B09B26T7KQ,"100% Polyester, High Quality, Durable and Water Resistant Fabric
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh pockets on both sides to accommodate your water bottle and umbrella
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult","Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",3.9
120,ASIN : B0BL3SPN16,"Care Instructions: Hand Wash Only
COMPATIBLE WITH 15.6 INCH LAPTOP”: The Northzone Backpack fits up to 15.6 inch laptop. Dimensions: 34cm x 15cm x 45.5cm; Weight: 499g
HIGH QUALITY, DURABLE AND WATER REPELLANT FABRIC”: This backpack features in durable snow yarn polyester fabric and streamlined design with a padded interior to protect notebooks and important items
CONVENIENT TRAVEL"" Adjustable shoulder strap and padded laptop compartment together with a quilted back panel make it comfortable for all-day use
CONVENIENTLY PLACED PADDED LAPTOP COMPARTMENTS AND POCKETS: The padded interior helps protect notebooks and important items. Quick access zippered front pocket for added storage. A quilted back panel make it comfortable for all-day use.
HIGH QUALITY, CASUAL YET STYLISH DESIGN"": very attractive and perfect for school, travel and outdoor activities. The perfect backpack for those needing stylish all-day protection for their laptop.","Manufacturer : Northzone, Plot no 35 to 40 KH.No. 28/2 Ground Floor Agar Nagar Prem Nagar Phase 3 Delhi 110086",3.9
121,null,null,null,
122,Manufacturer : Uber Fashion Merchandise Pvt. Ltd.,"Care Instructions: Hand Wash Only
Water Proof with attached Rain cover.
Reflective Printing and in Built Laptop sleeve
3 compartment, 1 pockets and 2 Bottle pouch.
Comes with the F Gear promise of quality.
Size(Hxlxw)Cm-(50x31x21)",Department : unisex-adult,4.3
123,Manufacturer : Frantic,"Care Instructions: Hand Wash Only
DIMENSIONS – 14 Length x 10 Width x 3 Height in inches.; MATERIAL TYPE – high quality washable felt velvet used which is non toxic and soft and skin friendly fabric. Ideal for Preschool / Nursery Kids. <br>
FEATURES – Light weight and soft fabric and it come with adjustable shoulder straps, which greatly reduce the pressure to shoulders. Also it has enough space for store things like toys, lunch box, fruits, small books, pencil box and other stationery items. <br>
The toddler backpack features with two adjustable shoulder straps and a top handle fit small children of all ages, and allows you to comfortably and easily adjust this backpack to fit boys and girls of different sizes <br>
The toddler bag have one small front pocket and a main compartment. You can put some small children's things in it, like Books, small books, pens, etc. Super cute pattern and design will make your small preschool or grade school children excited to head off to school with this bookbag! Also ideal for going to the zoo, playing at the park, traveling and any other outdoor activities <br>
Water Resistance Level: Water Resistant; Color Name: FullBody_SkyElehpant",Department : Children,3.8
124,Manufacturer : Fur Jaden,"MATERIAL - We use of Artificial Leather which is Durable, Long Lasting and tested to ensure they don't peel off in just few months. The leather is also water resistant. Inner fabric lining ensured to have a soft touch feel. We use quality zips and accessories that have a long life.
Waterproof - With this unisex duffle bag, you can be rest assured that none of your belongings will be damaged by rain or accidental splashes. The interiors of this water-resistant travel duffle bag remain free from moisture even if you get caught in an unexpected shower.
Dimensions: 47 x 28 x 27 CM. Volume Capacity - 35 Litres. Huge Spacious Compartment
Design - This stylish yet utilitarian textured leatherette duffle bag can be used for corporate travel as well as to take to the gym. The Large Spacious Compartment is suitable for 3-4 days weekender or business trip, can be used as a carry-on flight bag as well.
Warranty - Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects
Warranty - 100% Genuine Fur Jaden Men Bags, 10 days No Question asked replacement guarantee from the date of delivery. 6 Month Manufacturer and Seller Warranty against Manufacturing Defects",Item Weight : 900 g,4.3
125,ASIN : B09VTDMRY7,"Care Instructions: Wipe with Damp Cloth
Number Lock: This Fur Jaden Anti Theft laptop backpack comes equipped with a Number Lock. This helps keep your laptop and other belongings safe when you need to leave your bag unattended in a public space. The number lock sequence can be changed and customised by your directly.<br>
USB Charging Port: Now charge your devices on the go with your new Fur Jaden backpack without the hassle of carrying a bulk power bank in your pocket/ hand at all times.<br>
Ergonomic Design: This backpack has been designed to ensure equal weight distribution on your shoulders along with padded shoulder straps and breathable air mesh on the back.<br>
Dimension: 42 CM (L) x 30 CM (W) x 18 CM (D). Storage Capacity: 25L. Weight: 600 Grams; Warranty: 1 Year Manufacturer Warranty against Manufacturing Defects<br>
Age Range Description: Adult; Closure Type: Zipper; Lining Description: Polyester<br>","Manufacturer : FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",4.0
126,Manufacturer : KILLER,"Care Instructions: Hand Wash Only
Outer Fabric: Durable PU coated Polyester Fabric. Inner Fabric: Strong PU coated polyester fabtic<br><br>
Well cushioned Laptop compartment for upto 15.6 inch Laptop, and spacious enagh to carry for two days cloths<br><br>
Style Name: Travel Backpacks; Pattern Name: Solid; Pocket Description: Utility Pocket; Age Range Description: Adult; Strap Type: Adjustable; Water Resistance Level: Water Resistant; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Compartment Description: Up To 15 Inches<br>
<br>
<br>",Department : unisex-adult,4.4
127,ASIN : B0B9T4YDPX,"Care Instructions: Wipe with Damp Cloth
Handcrafted with care and made up of premium quality robust material","Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",4.3
